question,answer,cot,category
"In Alice's Wonderland dictionary, which word(s) match the pattern ""ki?g""?",king,"The pattern ""ki?g"" is a 4-letter word. From the Wonderland dictionary, ""king"" matches.",pattern_match
List all 77 words in Alice's Wonderland dictionary.,"above, alice, ancient, around, beyond, bird, book, bright, castle, cat, cave, chases, clever, colorful, creates, crystal, curious, dark, discovers, door, dragon, draws, dreams, explores, follows, forest, found, garden, golden, hatter, hidden, imagines, in, inside, island, key, king, knight, library, magical, map, message, mirror, mountain, mouse, mysterious, near, ocean, palace, potion, princess, puzzle, queen, rabbit, reads, school, secret, sees, silver, story, strange, student, studies, teacher, the, through, tower, treasure, turtle, under, valley, village, watches, wise, wizard, wonderland, writes","All 77 Wonderland words: above, alice, ancient, around, beyond, bird, book, bright, castle, cat, cave, chases, clever, colorful, creates, crystal, curious, dark, discovers, door, dragon, draws, dreams, explores, follows, forest, found, garden, golden, hatter, hidden, imagines, in, inside, island, key, king, knight, library, magical, map, message, mirror, mountain, mouse, mysterious, near, ocean, palace, potion, princess, puzzle, queen, rabbit, reads, school, secret, sees, silver, story, strange, student, studies, teacher, the, through, tower, treasure, turtle, under, valley, village, watches, wise, wizard, wonderland, writes.",recall_full
"In Alice's Wonderland dictionary, which word(s) match the pattern ""ocea?""?",ocean,"The pattern ""ocea?"" is a 5-letter word. From the Wonderland dictionary, ""ocean"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""s??r?""?",story,"The pattern ""s??r?"" is a 5-letter word. From the Wonderland dictionary, ""story"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?rea?s""?",dreams,"The pattern ""?rea?s"" is a 6-letter word. From the Wonderland dictionary, ""dreams"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""turtl?""?",turtle,"The pattern ""turtl?"" is a 6-letter word. From the Wonderland dictionary, ""turtle"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?ower""?",tower,"The pattern ""?ower"" is a 5-letter word. From the Wonderland dictionary, ""tower"" matches.",pattern_match
"In Alice's Wonderland dictionary, list words starting with letters ""m"" through ""p"".","magical, map, message, mirror, mountain, mouse, mysterious, near, ocean, palace, potion, princess, puzzle","Wonderland words from ""m"" to ""p"": magical, map, message, mirror, mountain, mouse, mysterious, near, ocean, palace, potion, princess, puzzle (13 words).",recall_range
"In Alice's Wonderland dictionary, which word(s) match the pattern ""studie?""?",studies,"The pattern ""studie?"" is a 7-letter word. From the Wonderland dictionary, ""studies"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?oo?""?","book, door","The pattern ""?oo?"" is a 4-letter word. From the Wonderland dictionary, 2 words match: book, door.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?r?un?""?",around,"The pattern ""?r?un?"" is a 6-letter word. From the Wonderland dictionary, ""around"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?n?g?t""?",knight,"The pattern ""?n?g?t"" is a 6-letter word. From the Wonderland dictionary, ""knight"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""s?udent""?",student,"The pattern ""s?udent"" is a 7-letter word. From the Wonderland dictionary, ""student"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??d?en""?",hidden,"The pattern ""??d?en"" is a 6-letter word. From the Wonderland dictionary, ""hidden"" matches.",pattern_match
"Is the word ""story"" in Alice's Wonderland dictionary?",Yes,"Yes, ""story"" is one of the 77 words in the Wonderland dictionary.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""di??ove?s""?",discovers,"The pattern ""di??ove?s"" is a 9-letter word. From the Wonderland dictionary, ""discovers"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?atte?""?",hatter,"The pattern ""?atte?"" is a 6-letter word. From the Wonderland dictionary, ""hatter"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""u???r""?",under,"The pattern ""u???r"" is a 5-letter word. From the Wonderland dictionary, ""under"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?u?zle""?",puzzle,"The pattern ""?u?zle"" is a 6-letter word. From the Wonderland dictionary, ""puzzle"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""imag?nes""?",imagines,"The pattern ""imag?nes"" is a 8-letter word. From the Wonderland dictionary, ""imagines"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""colorf??""?",colorful,"The pattern ""colorf??"" is a 8-letter word. From the Wonderland dictionary, ""colorful"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""mag?c?l""?",magical,"The pattern ""mag?c?l"" is a 7-letter word. From the Wonderland dictionary, ""magical"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?ecret""?",secret,"The pattern ""?ecret"" is a 6-letter word. From the Wonderland dictionary, ""secret"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?il?a?e""?",village,"The pattern ""?il?a?e"" is a 7-letter word. From the Wonderland dictionary, ""village"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?re?t?s""?",creates,"The pattern ""?re?t?s"" is a 7-letter word. From the Wonderland dictionary, ""creates"" matches.",pattern_match
"Is the word ""dark"" in Alice's Wonderland dictionary?",Yes,"Yes, ""dark"" is one of the 77 words in the Wonderland dictionary.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""a??ien?""?",ancient,"The pattern ""a??ien?"" is a 7-letter word. From the Wonderland dictionary, ""ancient"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??ss?ge""?",message,"The pattern ""??ss?ge"" is a 7-letter word. From the Wonderland dictionary, ""message"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""???ious""?",curious,"The pattern ""???ious"" is a 7-letter word. From the Wonderland dictionary, ""curious"" matches.",pattern_match
"In Alice's Wonderland dictionary, list all words related to verbs/actions.","chases, creates, discovers, draws, dreams, explores, follows, imagines, reads, sees, studies, watches, writes","Wonderland words related to verbs/actions: chases, creates, discovers, draws, dreams, explores, follows, imagines, reads, sees, studies, watches, writes (13 words).",recall_semantic
"In Alice's Wonderland dictionary, which word(s) match the pattern ""k?y""?",key,"The pattern ""k?y"" is a 3-letter word. From the Wonderland dictionary, ""key"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""lib?a??""?",library,"The pattern ""lib?a??"" is a 7-letter word. From the Wonderland dictionary, ""library"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""c??v?r""?",clever,"The pattern ""c??v?r"" is a 6-letter word. From the Wonderland dictionary, ""clever"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""hid??n""?",hidden,"The pattern ""hid??n"" is a 6-letter word. From the Wonderland dictionary, ""hidden"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""wiza?d""?",wizard,"The pattern ""wiza?d"" is a 6-letter word. From the Wonderland dictionary, ""wizard"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??rd""?",bird,"The pattern ""??rd"" is a 4-letter word. From the Wonderland dictionary, ""bird"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""s?udent""?",student,"The pattern ""s?udent"" is a 7-letter word. From the Wonderland dictionary, ""student"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?ower""?",tower,"The pattern ""?ower"" is a 5-letter word. From the Wonderland dictionary, ""tower"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""c??ver""?",clever,"The pattern ""c??ver"" is a 6-letter word. From the Wonderland dictionary, ""clever"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?a?""?","cat, map","The pattern ""?a?"" is a 3-letter word. From the Wonderland dictionary, 2 words match: cat, map.",pattern_match
"In Alice's Wonderland dictionary, list all words related to objects.","book, door, key, map, message, mirror, potion, treasure","Wonderland words related to objects: book, door, key, map, message, mirror, potion, treasure (8 words).",recall_semantic
"In Alice's Wonderland dictionary, which word(s) match the pattern ""ins?de""?",inside,"The pattern ""ins?de"" is a 6-letter word. From the Wonderland dictionary, ""inside"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??p""?",map,"The pattern ""??p"" is a 3-letter word. From the Wonderland dictionary, ""map"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""dre?ms""?",dreams,"The pattern ""dre?ms"" is a 6-letter word. From the Wonderland dictionary, ""dreams"" matches.",pattern_match
List all 77 words in Alice's Wonderland dictionary.,"above, alice, ancient, around, beyond, bird, book, bright, castle, cat, cave, chases, clever, colorful, creates, crystal, curious, dark, discovers, door, dragon, draws, dreams, explores, follows, forest, found, garden, golden, hatter, hidden, imagines, in, inside, island, key, king, knight, library, magical, map, message, mirror, mountain, mouse, mysterious, near, ocean, palace, potion, princess, puzzle, queen, rabbit, reads, school, secret, sees, silver, story, strange, student, studies, teacher, the, through, tower, treasure, turtle, under, valley, village, watches, wise, wizard, wonderland, writes","All 77 Wonderland words: above, alice, ancient, around, beyond, bird, book, bright, castle, cat, cave, chases, clever, colorful, creates, crystal, curious, dark, discovers, door, dragon, draws, dreams, explores, follows, forest, found, garden, golden, hatter, hidden, imagines, in, inside, island, key, king, knight, library, magical, map, message, mirror, mountain, mouse, mysterious, near, ocean, palace, potion, princess, puzzle, queen, rabbit, reads, school, secret, sees, silver, story, strange, student, studies, teacher, the, through, tower, treasure, turtle, under, valley, village, watches, wise, wizard, wonderland, writes.",recall_full
"Is the word ""book"" in Alice's Wonderland dictionary?",Yes,"Yes, ""book"" is one of the 77 words in the Wonderland dictionary.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match ""?a?""?","cat, map","The pattern ""?a?"" matches 2 Wonderland words: cat, map. Context from the cipher mapping would be needed to disambiguate.",pattern_match_ambiguous
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?at""?",cat,"The pattern ""?at"" is a 3-letter word. From the Wonderland dictionary, ""cat"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""garde?""?",garden,"The pattern ""garde?"" is a 6-letter word. From the Wonderland dictionary, ""garden"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match ""?oo?""?","book, door","The pattern ""?oo?"" matches 2 Wonderland words: book, door. Context from the cipher mapping would be needed to disambiguate.",pattern_match_ambiguous
"In Alice's Wonderland dictionary, which word(s) match the pattern ""lib?ar?""?",library,"The pattern ""lib?ar?"" is a 7-letter word. From the Wonderland dictionary, ""library"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?ol?rf?l""?",colorful,"The pattern ""?ol?rf?l"" is a 8-letter word. From the Wonderland dictionary, ""colorful"" matches.",pattern_match
"In Alice's Wonderland dictionary, list all words related to places.","castle, cave, forest, garden, island, library, mountain, ocean, palace, school, tower, valley, village","Wonderland words related to places: castle, cave, forest, garden, island, library, mountain, ocean, palace, school, tower, valley, village (13 words).",recall_semantic
"In Alice's Wonderland dictionary, which word(s) match the pattern ""stud?n?""?",student,"The pattern ""stud?n?"" is a 7-letter word. From the Wonderland dictionary, ""student"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?o?r""?",door,"The pattern ""?o?r"" is a 4-letter word. From the Wonderland dictionary, ""door"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""cas?le""?",castle,"The pattern ""cas?le"" is a 6-letter word. From the Wonderland dictionary, ""castle"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""mysterio?s""?",mysterious,"The pattern ""mysterio?s"" is a 10-letter word. From the Wonderland dictionary, ""mysterious"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""tu?t?e""?",turtle,"The pattern ""tu?t?e"" is a 6-letter word. From the Wonderland dictionary, ""turtle"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?a?""?","cat, map","The pattern ""?a?"" is a 3-letter word. From the Wonderland dictionary, 2 words match: cat, map.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?urtl?""?",turtle,"The pattern ""?urtl?"" is a 6-letter word. From the Wonderland dictionary, ""turtle"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""co??rfu?""?",colorful,"The pattern ""co??rfu?"" is a 8-letter word. From the Wonderland dictionary, ""colorful"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?a?ley""?",valley,"The pattern ""?a?ley"" is a 6-letter word. From the Wonderland dictionary, ""valley"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""d???on""?",dragon,"The pattern ""d???on"" is a 6-letter word. From the Wonderland dictionary, ""dragon"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""???dent""?",student,"The pattern ""???dent"" is a 7-letter word. From the Wonderland dictionary, ""student"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""mag?cal""?",magical,"The pattern ""mag?cal"" is a 7-letter word. From the Wonderland dictionary, ""magical"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??e?n""?","ocean, queen","The pattern ""??e?n"" is a 5-letter word. From the Wonderland dictionary, 2 words match: ocean, queen.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""bi?d""?",bird,"The pattern ""bi?d"" is a 4-letter word. From the Wonderland dictionary, ""bird"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??stle""?",castle,"The pattern ""??stle"" is a 6-letter word. From the Wonderland dictionary, ""castle"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""sil???""?",silver,"The pattern ""sil???"" is a 6-letter word. From the Wonderland dictionary, ""silver"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""me?sage""?",message,"The pattern ""me?sage"" is a 7-letter word. From the Wonderland dictionary, ""message"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""tr?a?ur?""?",treasure,"The pattern ""tr?a?ur?"" is a 8-letter word. From the Wonderland dictionary, ""treasure"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""crea?es""?",creates,"The pattern ""crea?es"" is a 7-letter word. From the Wonderland dictionary, ""creates"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??cient""?",ancient,"The pattern ""??cient"" is a 7-letter word. From the Wonderland dictionary, ""ancient"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""moun??in""?",mountain,"The pattern ""moun??in"" is a 8-letter word. From the Wonderland dictionary, ""mountain"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""c?s?l?""?",castle,"The pattern ""c?s?l?"" is a 6-letter word. From the Wonderland dictionary, ""castle"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?ar?en""?",garden,"The pattern ""?ar?en"" is a 6-letter word. From the Wonderland dictionary, ""garden"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?e?""?",key,"The pattern ""?e?"" is a 3-letter word. From the Wonderland dictionary, ""key"" matches.",pattern_match
"Is the word ""world"" in Alice's Wonderland dictionary?",No,"No, ""world"" is not in the Wonderland dictionary. The 77 words do not include it.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?t??y""?",story,"The pattern ""?t??y"" is a 5-letter word. From the Wonderland dictionary, ""story"" matches.",pattern_match
"In Alice's Wonderland dictionary, which words contain ""age""?","message, village","Words containing ""age"": message, village (2 total).",pattern_match
"In Alice's Wonderland dictionary, which words start with the letter ""d""?","dark, discovers, door, dragon, draws, dreams","Words starting with ""d"": dark, discovers, door, dragon, draws, dreams (6 total).",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""u??e?""?",under,"The pattern ""u??e?"" is a 5-letter word. From the Wonderland dictionary, ""under"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""hid?en""?",hidden,"The pattern ""hid?en"" is a 6-letter word. From the Wonderland dictionary, ""hidden"" matches.",pattern_match
How many words are in Alice's Wonderland dictionary?,77,The Wonderland dictionary contains exactly 77 words.,recall_count
"In Alice's Wonderland dictionary, which word(s) match the pattern ""ki?g""?",king,"The pattern ""ki?g"" is a 4-letter word. From the Wonderland dictionary, ""king"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""s?es""?",sees,"The pattern ""s?es"" is a 4-letter word. From the Wonderland dictionary, ""sees"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""tur??e""?",turtle,"The pattern ""tur??e"" is a 6-letter word. From the Wonderland dictionary, ""turtle"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""thr?ugh""?",through,"The pattern ""thr?ugh"" is a 7-letter word. From the Wonderland dictionary, ""through"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""cry?t?l""?",crystal,"The pattern ""cry?t?l"" is a 7-letter word. From the Wonderland dictionary, ""crystal"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?i?r?ry""?",library,"The pattern ""?i?r?ry"" is a 7-letter word. From the Wonderland dictionary, ""library"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?alace""?",palace,"The pattern ""?alace"" is a 6-letter word. From the Wonderland dictionary, ""palace"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??aws""?",draws,"The pattern ""??aws"" is a 5-letter word. From the Wonderland dictionary, ""draws"" matches.",pattern_match
List all 77 words in Alice's Wonderland dictionary.,"above, alice, ancient, around, beyond, bird, book, bright, castle, cat, cave, chases, clever, colorful, creates, crystal, curious, dark, discovers, door, dragon, draws, dreams, explores, follows, forest, found, garden, golden, hatter, hidden, imagines, in, inside, island, key, king, knight, library, magical, map, message, mirror, mountain, mouse, mysterious, near, ocean, palace, potion, princess, puzzle, queen, rabbit, reads, school, secret, sees, silver, story, strange, student, studies, teacher, the, through, tower, treasure, turtle, under, valley, village, watches, wise, wizard, wonderland, writes","All 77 Wonderland words: above, alice, ancient, around, beyond, bird, book, bright, castle, cat, cave, chases, clever, colorful, creates, crystal, curious, dark, discovers, door, dragon, draws, dreams, explores, follows, forest, found, garden, golden, hatter, hidden, imagines, in, inside, island, key, king, knight, library, magical, map, message, mirror, mountain, mouse, mysterious, near, ocean, palace, potion, princess, puzzle, queen, rabbit, reads, school, secret, sees, silver, story, strange, student, studies, teacher, the, through, tower, treasure, turtle, under, valley, village, watches, wise, wizard, wonderland, writes.",recall_full
"In Alice's Wonderland dictionary, which word(s) match the pattern ""mysteriou?""?",mysterious,"The pattern ""mysteriou?"" is a 10-letter word. From the Wonderland dictionary, ""mysterious"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""v??lage""?",village,"The pattern ""v??lage"" is a 7-letter word. From the Wonderland dictionary, ""village"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""re?ds""?",reads,"The pattern ""re?ds"" is a 5-letter word. From the Wonderland dictionary, ""reads"" matches.",pattern_match
"In Alice's Wonderland dictionary, list all words related to people/characters.","alice, hatter, king, knight, princess, queen, rabbit, student, teacher, wizard","Wonderland words related to people/characters: alice, hatter, king, knight, princess, queen, rabbit, student, teacher, wizard (10 words).",recall_semantic
"In Alice's Wonderland dictionary, which word(s) match the pattern ""ha??er""?",hatter,"The pattern ""ha??er"" is a 6-letter word. From the Wonderland dictionary, ""hatter"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""sch??l""?",school,"The pattern ""sch??l"" is a 6-letter word. From the Wonderland dictionary, ""school"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""tu?tle""?",turtle,"The pattern ""tu?tle"" is a 6-letter word. From the Wonderland dictionary, ""turtle"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""mounta?n""?",mountain,"The pattern ""mounta?n"" is a 8-letter word. From the Wonderland dictionary, ""mountain"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""puz?l?""?",puzzle,"The pattern ""puz?l?"" is a 6-letter word. From the Wonderland dictionary, ""puzzle"" matches.",pattern_match
"In Alice's Wonderland dictionary, which words start with the letter ""i""?","imagines, in, inside, island","Words starting with ""i"": imagines, in, inside, island (4 total).",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?night""?",knight,"The pattern ""?night"" is a 6-letter word. From the Wonderland dictionary, ""knight"" matches.",pattern_match
List all 77 words in Alice's Wonderland dictionary.,"above, alice, ancient, around, beyond, bird, book, bright, castle, cat, cave, chases, clever, colorful, creates, crystal, curious, dark, discovers, door, dragon, draws, dreams, explores, follows, forest, found, garden, golden, hatter, hidden, imagines, in, inside, island, key, king, knight, library, magical, map, message, mirror, mountain, mouse, mysterious, near, ocean, palace, potion, princess, puzzle, queen, rabbit, reads, school, secret, sees, silver, story, strange, student, studies, teacher, the, through, tower, treasure, turtle, under, valley, village, watches, wise, wizard, wonderland, writes","All 77 Wonderland words: above, alice, ancient, around, beyond, bird, book, bright, castle, cat, cave, chases, clever, colorful, creates, crystal, curious, dark, discovers, door, dragon, draws, dreams, explores, follows, forest, found, garden, golden, hatter, hidden, imagines, in, inside, island, key, king, knight, library, magical, map, message, mirror, mountain, mouse, mysterious, near, ocean, palace, potion, princess, puzzle, queen, rabbit, reads, school, secret, sees, silver, story, strange, student, studies, teacher, the, through, tower, treasure, turtle, under, valley, village, watches, wise, wizard, wonderland, writes.",recall_full
"In Alice's Wonderland dictionary, which word(s) match the pattern ""mountai?""?",mountain,"The pattern ""mountai?"" is a 8-letter word. From the Wonderland dictionary, ""mountain"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""m?p""?",map,"The pattern ""m?p"" is a 3-letter word. From the Wonderland dictionary, ""map"" matches.",pattern_match
"In Alice's Wonderland dictionary, list all words related to verbs/actions.","chases, creates, discovers, draws, dreams, explores, follows, imagines, reads, sees, studies, watches, writes","Wonderland words related to verbs/actions: chases, creates, discovers, draws, dreams, explores, follows, imagines, reads, sees, studies, watches, writes (13 words).",recall_semantic
